NM_URNA_CANDIDATO,NM_MUNICIPIO,CD_MUNICIPIO,DS_SIT_TOT_TURNO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS,Espectro
BRUNO COVAS,SÃO PAULO,71072,2º TURNO,45,PSDB,1754013,centro
PAULO SERRA,SANTO ANDRÉ,70572,ELEITO,45,PSDB,266591,centro
ORLANDO MORANDO,SÃO BERNARDO DO CAMPO,70750,ELEITO,45,PSDB,261761,centro
FELICIO,SÃO JOSÉ DOS CAMPOS,70998,ELEITO,45,PSDB,204800,centro
ALVARO DIAS,NATAL,17612,ELEITO,45,PSDB,194764,centro
RUBENS FURLAN,BARUERI,62138,ELEITO,45,PSDB,145377,centro
LUIZ FERNANDO MACHADO,JUNDIAÍ,66192,ELEITO,45,PSDB,134793,centro
MARCOS NEVES,CARAPICUÍBA,63134,ELEITO,45,PSDB,128773,centro
DUARTE NOGUEIRA,RIBEIRÃO PRETO,69698,2º TURNO,45,PSDB,115724,centro
RAQUEL LYRA,CARUARU,23817,ELEITO,45,PSDB,114466,centro
ROGÉRIO SANTOS,SANTOS,70718,ELEITO,45,PSDB,101268,centro
MARCUS MELO,MOGI DAS CRUZES,67130,2º TURNO,45,PSDB,81555,centro
ROBERTO PESSOA,MARACANAÚ,15857,ELEITO,45,PSDB,78859,centro
PAULA MASCARENHAS,PELOTAS,87912,2º TURNO,45,PSDB,78599,centro
HILDON CHAVES,PORTO VELHO,35,2º TURNO,45,PSDB,74728,centro
SALVARO,CRICIÚMA,80896,ELEITO,45,PSDB,71615,centro
SOLANGE FREITAS,SÃO VICENTE,71218,2º TURNO,45,PSDB,67558,centro
SUZANA RAMOS,JUAZEIRO,36692,ELEITO,45,PSDB,64229,centro
PARDINI,BOTUCATU,62499,ELEITO,45,PSDB,58541,centro
BARJAS NEGRI,PIRACICABA,68756,2º TURNO,45,PSDB,56760,centro
RAQUEL CHINI,PRAIA GRANDE,69213,2º TURNO,45,PSDB,55204,centro
DANIEL ALONSO,MARÍLIA,66818,ELEITO,45,PSDB,55060,centro
IZAIAS SANTANA,JACAREÍ,65897,ELEITO,45,PSDB,53978,centro
FATIMA DAUDT,NOVO HAMBURGO,87718,ELEITO,45,PSDB,51467,centro
ANDRE MERLO,GOVERNADOR VALADARES,45535,2º TURNO,45,PSDB,49183,centro
ENGENHEIRO DANIEL,TABOÃO DA SERRA,71579,2º TURNO,45,PSDB,46350,centro
CINTHIA RIBEIRO,PALMAS,73440,ELEITO,45,PSDB,46243,centro
DR MARCOS VINICIUS,CORONEL FABRICIANO,43877,ELEITO,45,PSDB,46060,centro
DILADOR BORGES,ARAÇATUBA,61557,ELEITO,45,PSDB,41161,centro
HELIO PELUFFO FILHO,PONTA PORÃ,91316,ELEITO,45,PSDB,40305,centro
RAIMUNDÃO,BRAGANÇA,4332,ELEITO,45,PSDB,38481,centro
CLEBER FONTANA,FRANCISCO BELTRÃO,75655,ELEITO,45,PSDB,37472,centro
DR. WILSINHO,SERTÃOZINHO,71358,ELEITO,45,PSDB,35343,centro
MARCOS TONHO,SANTANA DE PARNAÍBA,70475,ELEITO,45,PSDB,33828,centro
ANGELO GUERREIRO,TRÊS LAGOAS,91650,ELEITO,45,PSDB,33331,centro
MARIA JOSE GONZAGA,TATUÍ,71811,ELEITO,45,PSDB,31861,centro
VANDER MASSON,TANGARÁ DA SERRA,91855,ELEITO,45,PSDB,31606,centro
SERGIO AZEVEDO,POÇOS DE CALDAS,50350,ELEITO,45,PSDB,30674,centro
ARI LAFIN,SORRISO,98930,ELEITO,45,PSDB,30179,centro
GENIVAL,SANTO ANTÔNIO DE JESUS,38733,ELEITO,45,PSDB,29361,centro
ILCE ROCHA,VESPASIANO,54259,ELEITO,45,PSDB,26596,centro
FRANCINETI CARVALHO,ABAETETUBA,4014,ELEITO,45,PSDB,26153,centro
PEDRINHO ELISEU,ARARAS,61654,ELEITO,45,PSDB,25697,centro
PROFESSOR RODOLFO,VÁRZEA PAULISTA,72338,ELEITO,45,PSDB,25319,centro
ADEMARIO,CUBATÃO,63711,ELEITO,45,PSDB,25297,centro
PACHECO,CONCÓRDIA,80837,ELEITO,45,PSDB,25280,centro
BRANQUINHO,UNAÍ,54070,ELEITO,45,PSDB,25126,centro
MARIO CELSO,ANDRADINA,61417,ELEITO,45,PSDB,24960,centro
PROF VALDIR BONATTO,VIAMÃO,89630,ELEITO,45,PSDB,23957,centro
DOUTOR SATO,JANDIRA,66010,ELEITO,45,PSDB,23586,centro
SYLVINHO BALLERINI,LORENA,66451,ELEITO,45,PSDB,23530,centro
FELIPE AUGUSTO,SÃO SEBASTIÃO,71153,ELEITO,45,PSDB,23501,centro
MARCIA BIN ESPOSA DO TESTINHA,POÁ,68977,ELEITO,45,PSDB,23446,centro
EDSON MAGALHÃES,GUARAPARI,56472,ELEITO,45,PSDB,23068,centro
SAULO SPEROTTO,CAÇADOR,80578,ELEITO,45,PSDB,21469,centro
ALADIM,MAIRIPORÃ,66710,ELEITO,45,PSDB,21315,centro
MARCELO IUNES,CORUMBÁ,90638,ELEITO,45,PSDB,21208,centro
JORGE SEBA,VOTUPORANGA,72451,ELEITO,45,PSDB,21184,centro
PADRE OSVALDO,CATANDUVA,63231,ELEITO,45,PSDB,20981,centro
DANIEL SANTANA,SÃO MATEUS,56979,ELEITO,45,PSDB,20899,centro
DR THOMAS,ITATIBA,65692,ELEITO,45,PSDB,20503,centro
ANDRÉ MOSER,INDAIAL,81477,ELEITO,45,PSDB,20299,centro
ALDO,CERQUILHO,63312,ELEITO,45,PSDB,19430,centro
TIAGO CERVANTES,ITANHAÉM,65439,ELEITO,45,PSDB,19368,centro
JOÃO GONÇALVES JR,JARU,159,ELEITO,45,PSDB,19357,centro
DIOGO SIQUEIRA,BENTO GONÇALVES,85413,ELEITO,45,PSDB,19105,centro
LUTH REBELO,BREVES,4359,NÃO ELEITO,45,PSDB,18701,centro
RICARDO RAMOS,OURICURI,24970,ELEITO,45,PSDB,17976,centro
ODILON RIBEIRO,AQUIDAUANA,90212,ELEITO,45,PSDB,17939,centro
JACÓ MACIEL,QUEIMADAS,21512,NÃO ELEITO,45,PSDB,17675,centro
DR MARCELO,ITAMARAJU,36137,ELEITO,45,PSDB,17592,centro
AMADEU,VACARIA,89532,ELEITO,45,PSDB,17527,centro
TOMAZINI,SÃO BENTO DO SUL,83119,ELEITO,45,PSDB,17288,centro
JOAQUIM GUILHERME,MORRINHOS,94730,ELEITO,45,PSDB,17284,centro
CARLÃO DA FOX,GOIANIRA,93750,ELEITO,45,PSDB,17280,centro
ALBERTO CASTRO,DIAS D ÁVILA,30872,ELEITO,45,PSDB,16922,centro
IVO FERREIRA,CAMAQUÃ,85693,ELEITO,45,PSDB,16881,centro
CAIO MATHEUS,BERTIOGA,61280,ELEITO,45,PSDB,15137,centro
JORGE DERBLI,IRATI,76074,ELEITO,45,PSDB,14975,centro
FABIOLA ALVES,VOTORANTIM,72435,ELEITO,45,PSDB,14719,centro
MARCUS DIOGO,GUARABIRA,20273,ELEITO,45,PSDB,14646,centro
JOÃO GUALBERTO,MATA DE SÃO JOÃO,37214,ELEITO,45,PSDB,14470,centro
DR TADEU,CAICÓ,16390,ELEITO,45,PSDB,14248,centro
AMARILDO,VARGEM GRANDE DO SUL,72311,ELEITO,45,PSDB,14002,centro
CLENILTON PEREIRA,ARAQUARI,80250,ELEITO,45,PSDB,13787,centro
MAURA JORGE,LAGO DA PEDRA,8133,ELEITO,45,PSDB,13428,centro
THIAGO SILVA,SÃO PEDRO,71099,ELEITO,45,PSDB,12851,centro
VANDERLEI MÁRSICO,TAQUARITINGA,71757,ELEITO,45,PSDB,12828,centro
DR HEBER,GUAXUPÉ,45730,ELEITO,45,PSDB,12663,centro
FÁBIO RAMALHO,LAGOA SECA,20672,ELEITO,45,PSDB,12466,centro
DUDA LEITE,POJUCA,38059,ELEITO,45,PSDB,12376,centro
CLÉCIO AZEVEDO,BOM JESUS,16330,ELEITO,45,PSDB,12306,centro
IVANILDINHO,SANTA CRUZ,18236,ELEITO,45,PSDB,12138,centro
LUIS HENRIQUE,JALES,65978,ELEITO,45,PSDB,12114,centro
ANDRÉ NEZZI,CAARAPÓ,90557,ELEITO,45,PSDB,12082,centro
MANGINI,CABREÚVA,62693,ELEITO,45,PSDB,11976,centro
CHICO GAMBA,ALTA FLORESTA,89877,ELEITO,45,PSDB,11739,centro
DR.EDSON,MIRASSOL,67075,ELEITO,45,PSDB,11708,centro
DR LUIZ,CAMPO LIMPO PAULISTA,62936,ELEITO,45,PSDB,11503,centro
ITAMAR BUENO,CRAVINHOS,63630,ELEITO,45,PSDB,11218,centro
MARCOS CALDERAN,MARACAJU,91073,ELEITO,45,PSDB,11194,centro
DR BANDEIRA,AMAMBAI,90115,ELEITO,45,PSDB,11157,centro
NORMANDO RIACHÃO,IGARAPÉ-AÇU,4634,ELEITO,45,PSDB,11132,centro
DENERVAL,TAIOBEIRAS,53597,ELEITO,45,PSDB,10987,centro
JONAS MUNIZ,CRUZ,15890,ELEITO,45,PSDB,10964,centro
CELSO ROMANO,GUARIBA,64734,ELEITO,45,PSDB,10927,centro
MARCELO PADOVAN,CAMPOS DO JORDÃO,62952,ELEITO,45,PSDB,10868,centro
EDSON MORAES,MIRANDA,91111,ELEITO,45,PSDB,10867,centro
JOÃO CARLOS KRUG,CHAPADÃO DO SUL,91782,ELEITO,45,PSDB,10781,centro
LUIZ MAURICIO,PERUÍBE,68535,ELEITO,45,PSDB,10734,centro
DIEGO FRANCISCO,ESTÂNCIA VELHA,86495,ELEITO,45,PSDB,10624,centro
ZE PARRELLA,IBATÉ,64874,ELEITO,45,PSDB,10499,centro
JEFERSON TOMAZONI,SÃO GABRIEL DO OESTE,98094,ELEITO,45,PSDB,10416,centro
PROFESSOR NILTON HIROTA,REGISTRO,69531,ELEITO,45,PSDB,10240,centro
DIEGO DA PADARIA,OURO BRANCO,17698,NÃO ELEITO,45,PSDB,10157,centro
ELISEU MIBACH,PORTO UNIÃO,82678,ELEITO,45,PSDB,9968,centro
VALMIR PEDRO,URUAÇU,96334,ELEITO,45,PSDB,9919,centro
HAMILTON,BELO ORIENTE,41254,ELEITO,45,PSDB,9666,centro
ALCIDES,LIMOEIRO DO AJURU,4790,ELEITO,45,PSDB,9450,centro
ZEZO,SANTA RITA DE CÁSSIA,35491,ELEITO,45,PSDB,9299,centro
BEM TI VI,TRÊS MARIAS,41157,ELEITO,45,PSDB,9259,centro
VANDO VITOR,PALMEIRAS DE GOIÁS,95117,ELEITO,45,PSDB,9228,centro
PROF ZÉ LUIZ,BRODOWSKI,62570,ELEITO,45,PSDB,9192,centro
DR ARTUR,PROMISSÃO,69337,ELEITO,45,PSDB,9141,centro
ALEXANDRE ARAÚJO - NÊ,AGUAÍ,61050,ELEITO,45,PSDB,9120,centro
ENELVO FELINI,SIDROLÂNDIA,91570,NÃO ELEITO,45,PSDB,9057,centro
VANDO MAGNUSSON,CONCHAL,63452,ELEITO,45,PSDB,9031,centro
OSCAR MARTARELLO,XANXERÊ,83836,ELEITO,45,PSDB,8892,centro
TICA VIEGAS,MELGAÇO,4898,ELEITO,45,PSDB,8885,centro
DIOGO CURI,CAXAMBU,43095,ELEITO,45,PSDB,8882,centro
RHAIZA MATOS,NAVIRAÍ,91138,ELEITO,45,PSDB,8873,centro
CARLOS LEREIA,MINAÇU,96474,ELEITO,45,PSDB,8775,centro
SOUSA,AREIA BRANCA,31097,NÃO ELEITO,45,PSDB,8769,centro
SILON,DOM ELISEU,5975,ELEITO,45,PSDB,8746,centro
MATHEUS MARUM,SALTO DE PIRAPORA,70076,ELEITO,45,PSDB,8654,centro
NANDINHO DA SERRARIA,ESPLANADA,35114,ELEITO,45,PSDB,8525,centro
DANIEL MARINHO,NÍSIA FLORESTA,17639,ELEITO,45,PSDB,8351,centro
LICA,SERRA DO RAMALHO,39047,ELEITO,45,PSDB,8303,centro
JÚLIO CAMPANI,SÃO SEBASTIÃO DO CAÍ,88935,ELEITO,45,PSDB,8280,centro
WILSON,IGUAPE,65072,ELEITO,45,PSDB,8275,centro
KÉKE,CAPELA DO ALTO,63070,ELEITO,45,PSDB,8224,centro
JORGE DANTAS,PÃO DE AÇÚCAR,28274,ELEITO,45,PSDB,8039,centro
FERNANDO REINKE,MASSARANDUBA,82074,NÃO ELEITO,45,PSDB,8035,centro
CÉLIO DE ELIZEU,SÃO MIGUEL,18473,ELEITO,45,PSDB,7923,centro
DIOCLÉSIO RAGNINI,JOAÇABA,81779,ELEITO,45,PSDB,7853,centro
ZÉ ÉDER,CUNHA,63738,ELEITO,45,PSDB,7822,centro
ROGER GASQUES,ÁLVARES MACHADO,61255,ELEITO,45,PSDB,7764,centro
DR TIAGO ALMEIDA,PARELHAS,17779,ELEITO,45,PSDB,7743,centro
ALEX LACERDA,ITABERÁ,65358,ELEITO,45,PSDB,7554,centro
LEONARDO SPIGA REAL,TAMBAÚ,71676,ELEITO,45,PSDB,7466,centro
MÁRIO REIS,PAPAGAIOS,49379,ELEITO,45,PSDB,7361,centro
ZUCA,AMPÉRE,74179,ELEITO,45,PSDB,7314,centro
IOGO QUEIROZ,JUCURUTU,17191,ELEITO,45,PSDB,7292,centro
CLEMENTE,TREMEMBÉ,71978,ELEITO,45,PSDB,7254,centro
OTÁVIO GOMES,ILHA SOLTEIRA,61204,ELEITO,45,PSDB,7200,centro
CONZATTI E JONAS,ENCANTADO,86339,ELEITO,45,PSDB,7125,centro
GLÁUCIA CAMACHO,SEVERÍNIA,71390,ELEITO,45,PSDB,6988,centro
DUGUINHA,SÃO JOAQUIM DO MONTE,25658,ELEITO,45,PSDB,6974,centro
KARLA GALENDE,SANTA TEREZINHA DE ITAIPU,84670,ELEITO,45,PSDB,6962,centro
CABURÉ,MONTE SANTO DE MINAS,48631,ELEITO,45,PSDB,6918,centro
EVANDRO,SÃO JERÔNIMO,88714,ELEITO,45,PSDB,6905,centro
ELIDIO,MANGUEIRINHA,75116,ELEITO,45,PSDB,6864,centro
MARCOS PACCO,ITAPORÃ,90891,ELEITO,45,PSDB,6859,centro
CASSIA FURLAN,PRESIDENTE EPITÁCIO,69272,ELEITO,45,PSDB,6857,centro
KLEBER MEDICI,SANTA TERESA,56910,ELEITO,45,PSDB,6803,centro
GIL HELOU,ÁGUAS DE LINDÓIA,61093,ELEITO,45,PSDB,6797,centro
VINICIUS ENGENHEIRO,GUARÁ,64556,ELEITO,45,PSDB,6749,centro
DIRCEU PANO,AMÉRICO BRASILIENSE,61336,ELEITO,45,PSDB,6687,centro
ARLEI TOMAZONI,TRÊS PASSOS,89419,ELEITO,45,PSDB,6679,centro
HILZETE MARIM,TURURU,13080,ELEITO,45,PSDB,6667,centro
CLEBER GAUCHO,NOVO HORIZONTE,67717,NÃO ELEITO,45,PSDB,6664,centro
ROMERO LEAL,VERTENTES,26239,ELEITO,45,PSDB,6650,centro
ZÉ RAMIRO,ITAÍ,65374,ELEITO,45,PSDB,6564,centro
SILVIO BUCHERA,PRADÓPOLIS,69191,ELEITO,45,PSDB,6435,centro
DR JULIO,MEDICILÂNDIA,5770,ELEITO,45,PSDB,6401,centro
DONIZETE CHUMBINHO,ITAGUARA,46434,ELEITO,45,PSDB,6386,centro
BORÓ,ANAJÁS,4138,ELEITO,45,PSDB,6306,centro
DIEB,COLINA,63410,ELEITO,45,PSDB,6274,centro
ALEX MORETINI,CAJURU,62898,ELEITO,45,PSDB,6265,centro
BERNARDO,JÚLIO DE CASTILHOS,87254,ELEITO,45,PSDB,6228,centro
MARIO AFONSO CENA,PINHALZINHO,82538,ELEITO,45,PSDB,6227,centro
JOÃO FILIPE,CACONDE,62758,ELEITO,45,PSDB,6224,centro
DR NAIM,MIGUELÓPOLIS,66958,ELEITO,45,PSDB,6206,centro
JEFERSON PIRES,QUARAÍ,88099,ELEITO,45,PSDB,6180,centro
SAMUEL LACERDA,CONCEIÇÃO,19895,ELEITO,45,PSDB,6171,centro
OSMAR PINATTO,JUNQUEIRÓPOLIS,66214,ELEITO,45,PSDB,6163,centro
CESAR FIALA,PIRAJUÍ,68799,ELEITO,45,PSDB,6156,centro
ANDRÉ ZUQUERATO,REGENTE FEIJÓ,69493,ELEITO,45,PSDB,6120,centro
NILDO ALVES,ANASTÁCIO,90131,ELEITO,45,PSDB,5976,centro
MARIO MACACO,ITAPACI,94137,ELEITO,45,PSDB,5974,centro
DR CELSO,TUCUMÃ,4081,ELEITO,45,PSDB,5937,centro
JOSÉ WALDIR,CAJATI,61484,NÃO ELEITO,45,PSDB,5885,centro
DINHO,BOA VISTA DO TUPIM,33758,ELEITO,45,PSDB,5878,centro
MURILO,NAZARÉ PAULISTA,67490,ELEITO,45,PSDB,5848,centro
DARLEI,NOVA PETRÓPOLIS,87670,ELEITO,45,PSDB,5845,centro
MARCOS DANIEL,JABORANDI,65854,NÃO ELEITO,45,PSDB,5815,centro
ALCINDO,TRÊS COROAS,89370,ELEITO,45,PSDB,5811,centro
DR. ÁTILA,MIRANTE DO PARANAPANEMA,67059,ELEITO,45,PSDB,5794,centro
CÉSAR MARQUES,AROEIRAS,19259,ELEITO,45,PSDB,5788,centro
RODRIGO ROSSONI,BITURUNA,74551,ELEITO,45,PSDB,5763,centro
JUDITE BOTAFOGO,LAGOA DO CARRO,23027,ELEITO,45,PSDB,5756,centro
ROBERTO UCHOA,OURÉM,5070,ELEITO,45,PSDB,5673,centro
FÁBIO PERSCH,BOM PRINCÍPIO,98230,ELEITO,45,PSDB,5633,centro
JOSILDA MACENA,ARAÇAGI,19151,ELEITO,45,PSDB,5577,centro
MARIA OLIVEIRA,IPIXUNA,2399,ELEITO,45,PSDB,5405,centro
MIRO FALCÃO,CAMPOS GERAIS,42315,ELEITO,45,PSDB,5368,centro
NETO DA EDILAMAR,TUPACIGUARA,53910,ELEITO,45,PSDB,5362,centro
VALDO DO POSTO,JACAREACANGA,4200,ELEITO,45,PSDB,5305,centro
IRANI BARROS,ARAPOTI,74292,ELEITO,45,PSDB,5288,centro
EDUARDO,BOTELHOS,41670,ELEITO,45,PSDB,5209,centro
EDILSON ALENCAR,PRESIDENTE MÉDICI,191,ELEITO,45,PSDB,5202,centro
JOCIONE SOUZA,NOVO ARIPUANÃ,2674,ELEITO,45,PSDB,5192,centro
SERGIO BORGES,IPORÃ,76058,ELEITO,45,PSDB,5169,centro
ROGÉRIO FRIGO (GÉIO),NOVA VENEZA,82279,ELEITO,45,PSDB,5058,centro
MARIA DE ZE ROBERTO,ALAGOINHA,19097,ELEITO,45,PSDB,5031,centro
LUIS GUSTAVO,PALMITAL,68071,ELEITO,45,PSDB,5029,centro
FERNANDO TEIXEIRA,ESPÍRITO SANTO,16691,ELEITO,45,PSDB,4989,centro
LUIS EDUARDO,MAXARANGUAPE,17493,ELEITO,45,PSDB,4950,centro
VLAMIR SANDEI,TIETÊ,71919,ELEITO,45,PSDB,4944,centro
LUCIO,ITINGA DO MARANHÃO,7722,ELEITO,45,PSDB,4897,centro
MARCOS PEDRO,LUIZ ALVES,81973,ELEITO,45,PSDB,4787,centro
OSCAR,TARUMÃ,61042,ELEITO,45,PSDB,4750,centro
JAIR BONI,CASSILÂNDIA,90573,ELEITO,45,PSDB,4696,centro
BRUNO,GUAIÇARA,64459,ELEITO,45,PSDB,4676,centro
JUNIOR DE DENIR,JACINTO,46930,ELEITO,45,PSDB,4655,centro
DRA MARLENE,IBIÁ,45896,ELEITO,45,PSDB,4634,centro
DINHO,CESÁRIO LANGE,63339,ELEITO,45,PSDB,4611,centro
DIRCEU POLO FILHO,PEDREGULHO,68411,ELEITO,45,PSDB,4588,centro
SEVERO,SÃO SEBASTIÃO DE LAGOA DE ROÇA,22039,ELEITO,45,PSDB,4556,centro
LUZIA VACARIN,CUNHA PORÃ,80918,ELEITO,45,PSDB,4518,centro
VALDIR JÚNIOR,NIOAQUE,91154,ELEITO,45,PSDB,4475,centro
DEJINHA,PEDRO VELHO,17957,ELEITO,45,PSDB,4460,centro
GEORGE FARIAS,TAPEROÁ,22314,ELEITO,45,PSDB,4437,centro
ROMINHO,PIQUETE,68713,ELEITO,45,PSDB,4387,centro
DR TALES,BREJO DO CRUZ,19577,ELEITO,45,PSDB,4384,centro
VALDOMIRO SOBRINHO,MUNDO NOVO,91790,ELEITO,45,PSDB,4377,centro
RONALD,LAGOA DOURADA,47473,ELEITO,45,PSDB,4374,centro
LEOCIR HANEL,NOBRES,91170,ELEITO,45,PSDB,4373,centro
VALMIRO,POÇO DAS TRINCHEIRAS,28436,ELEITO,45,PSDB,4360,centro
BALEIA,SÃO MIGUEL DAS MATAS,38873,ELEITO,45,PSDB,4350,centro
SALA,TENENTE PORTELA,89311,ELEITO,45,PSDB,4306,centro
ASSIS PEIXOTO,SÃO SIMÃO,96059,ELEITO,45,PSDB,4277,centro
BELCHIOR,SANTA JULIANA,51535,ELEITO,45,PSDB,4274,centro
TOM MAROJA,JURIPIRANGA,20591,ELEITO,45,PSDB,4241,centro
KIM,MAR DE ESPANHA,47953,ELEITO,45,PSDB,4221,centro
FERNANDO ALMEIDA,MARTINS SOARES,41041,ELEITO,45,PSDB,4215,centro
JEAN,MONTE CASTELO,82171,ELEITO,45,PSDB,4185,centro
MANEKO ARTEMENKO,ENGENHEIRO PAULO DE FRONTIN,58351,ELEITO,45,PSDB,4160,centro
VITÃO,PARAIBUNA,68136,ELEITO,45,PSDB,4158,centro
LUCIANO FILÉ,FARTURA,64092,ELEITO,45,PSDB,4145,centro
ZINHO GOUVEA,RESENDE COSTA,50830,ELEITO,45,PSDB,4144,centro
DIDIU,PIRPIRITUBA,21377,ELEITO,45,PSDB,4104,centro
PAULÃO FRANJOTTI,JAPORÃ,55034,ELEITO,45,PSDB,4079,centro
MARCIO BURGUINHA,CHAVANTES,63371,ELEITO,45,PSDB,4077,centro
DELEGADO SERGIO LOPES ,EPITACIOLÂNDIA,1112,ELEITO,45,PSDB,3984,centro
ALVINHO,JURUAIA,47376,ELEITO,45,PSDB,3965,centro
SERGINHO,IPAUSSU,65196,ELEITO,45,PSDB,3964,centro
VANDIN,ÁGUA AZUL DO NORTE,4260,ELEITO,45,PSDB,3931,centro
SÉRGIO COXA,FRONTEIRA,45390,ELEITO,45,PSDB,3926,centro
FRANQUI SALVARO,SIDERÓPOLIS,83470,ELEITO,45,PSDB,3924,centro
CAMARÃO,COLARES,4510,NÃO ELEITO,45,PSDB,3913,centro
KEKINHA,BALNEÁRIO GAIVOTA,81744,ELEITO,45,PSDB,3881,centro
REINALDO PITI,BELA VISTA,90417,ELEITO,45,PSDB,3876,centro
EDVARD COLOMBO,IBIRÁ,64890,ELEITO,45,PSDB,3872,centro
LADEMIR,IRINEÓPOLIS,81558,ELEITO,45,PSDB,3854,centro
LEANDRO SANTANA,PONTO DOS VOLANTES,40584,ELEITO,45,PSDB,3851,centro
PEZÃO,IAPU,45853,ELEITO,45,PSDB,3843,centro
COLORAL,SÃO JOSÉ DA LAGOA TAPADA,21857,ELEITO,45,PSDB,3842,centro
RICARDO,PRESIDENTE JUSCELINO,50636,ELEITO,45,PSDB,3838,centro
ARTHUR,SERICITA,53252,ELEITO,45,PSDB,3747,centro
DR. MESSIAS SIMÃO,MANAÍRA,20818,ELEITO,45,PSDB,3659,centro
FERNANDÃO,SÃO LOURENÇO DA SERRA,61905,NÃO ELEITO,45,PSDB,3649,centro
CHICO PIROLI,SETE QUEDAS,98132,ELEITO,45,PSDB,3642,centro
WALMIR,SÃO GERALDO,52299,ELEITO,45,PSDB,3633,centro
COLEMAR CARDOSO,GUAPÓ,93815,ELEITO,45,PSDB,3629,centro
TOBARDINI,BADY BASSITT,61913,ELEITO,45,PSDB,3613,centro
GILMAR SANI,ALFREDO WAGNER,80136,ELEITO,45,PSDB,3584,centro
DR FERNANDO,SELVÍRIA,98116,ELEITO,45,PSDB,3558,centro
MEROLA,CRUZÍLIA,44156,ELEITO,45,PSDB,3540,centro
LUZIA SUZUKAWA,TAMARANA,75663,ELEITO,45,PSDB,3527,centro
GERMINO ROZ,BATAYPORÃ,90395,ELEITO,45,PSDB,3517,centro
VALTINHO,FRANCISCO ALVES,79774,ELEITO,45,PSDB,3486,centro
JORGE LUIZ STOLF,RIO DOS CEDROS,82899,ELEITO,45,PSDB,3474,centro
MARCOS GUERRA,SÃO ROQUE DO CANAÃ,56162,ELEITO,45,PSDB,3472,centro
IRONE BENTO,MATA VERDE,40428,ELEITO,45,PSDB,3464,centro
GERALDINO JUNIOR,ILHA COMPRIDA,62006,ELEITO,45,PSDB,3452,centro
LILI,JUCURUÇU,36706,ELEITO,45,PSDB,3391,centro
JUNINHO DO LESTER,PRADOS,50539,ELEITO,45,PSDB,3369,centro
LAURINDO,QUELUZ,69396,ELEITO,45,PSDB,3338,centro
JULINHO TOMAZELA,CONCHAS,63479,ELEITO,45,PSDB,3335,centro
GILMAR TEODORO,PERDIGÃO,49930,ELEITO,45,PSDB,3334,centro
DR WELLINGTON,BOA SAÚDE,17035,ELEITO,45,PSDB,3306,centro
DIRCEU,SÃO JOSÉ DO CERRITO,83313,ELEITO,45,PSDB,3302,centro
ITAMAR LEÃO,SANCLERLÂNDIA,95753,ELEITO,45,PSDB,3299,centro
VITOR BOTINI,BILAC,62278,ELEITO,45,PSDB,3288,centro
EDILSOM GRASSI,NOVA PRATA DO IGUAÇU,79952,NÃO ELEITO,45,PSDB,3280,centro
TIAGO LISBOA,CAPIM,19062,ELEITO,45,PSDB,3245,centro
JOÃOZINHO FURTADO,SERRA CAIADA,18058,ELEITO,45,PSDB,3229,centro
LUIS FIORANI,VISTA ALEGRE DO ALTO,72419,ELEITO,45,PSDB,3224,centro
FABIO DA FARMÁCIA,NOVA LARANJEIRAS,74586,ELEITO,45,PSDB,3221,centro
GALO,FLORÂNIA,16756,ELEITO,45,PSDB,3217,centro
LUCIDI POLEGATTO,TEODORO SAMPAIO,71870,NÃO ELEITO,45,PSDB,3211,centro
GUSTAVO,CAJOBI,62871,ELEITO,45,PSDB,3168,centro
MARCIO FARAGUTI,NEVES PAULISTA,67512,ELEITO,45,PSDB,3154,centro
MARQUINHOS DO DEDÉ,VICENTINA,91901,ELEITO,45,PSDB,3153,centro
ELANE DO SINDICATO,BERILO,41297,ELEITO,45,PSDB,3146,centro
CESAR IATECOLA,VERA CRUZ,72354,NÃO ELEITO,45,PSDB,3115,centro
TONINHO SANTANA,RIOLÂNDIA,69850,ELEITO,45,PSDB,3070,centro
SELUIR,ARIPUANÃ,90271,ELEITO,45,PSDB,3057,centro
LINSINHO,NATUBA,20990,ELEITO,45,PSDB,3047,centro
NICO MORAES,CARBONITA,42692,ELEITO,45,PSDB,3030,centro
ROBERTO DONÁ,SANTO ANTÔNIO DO ARACANGUÁ,61328,ELEITO,45,PSDB,3030,centro
CINTHIA SONALE,GROSSOS,16853,ELEITO,45,PSDB,3007,centro
REINALDO CUNHA,PALESTINA,68012,ELEITO,45,PSDB,3001,centro
ROSSANE DE GERMANO,IELMO MARINHO,16896,ELEITO,45,PSDB,2988,centro
MARCELO,CRISTAL,85464,ELEITO,45,PSDB,2986,centro
ALTAMIR KURTEN,CLÁUDIA,90522,ELEITO,45,PSDB,2949,centro
SONIA SALETE VEDOVATTO,MONTE CARLO,80004,ELEITO,45,PSDB,2940,centro
DONA GRAÇA,ITIRAPINA,65730,ELEITO,45,PSDB,2929,centro
DIRE,OURO,82317,ELEITO,45,PSDB,2927,centro
CARLINHO,CHALÉ,43192,ELEITO,45,PSDB,2908,centro
ZÉ BETIO,GUARDA-MOR,45713,ELEITO,45,PSDB,2882,centro
HENRIQUE,TERENOS,91596,ELEITO,45,PSDB,2879,centro
NETO,RINÓPOLIS,69779,ELEITO,45,PSDB,2872,centro
